,Напряжение бортовой сети,Количество топлива,Напряжение аккумуляторной батареи,Оценка риска,Источник риска
1160,12.290805,42.863568,12.2,0.19454653238341563,Неустойчивое напряжение бортовой сети
1170,12.330211,42.816356,12.2,0.19629679439768577,Неустойчивое напряжение бортовой сети
1180,12.347231,42.774107,12.2,0.19712456507052328,Неустойчивое напряжение бортовой сети
1190,12.1981,42.741206,12.2,0.1975938494835268,Неустойчивое напряжение бортовой сети
1200,12.198043,42.708969,12.2,0.21402008573837386,Неустойчивое напряжение бортовой сети
1210,12.246669,42.673059,12.2,0.22017967524049872,Неустойчивое напряжение бортовой сети
1220,12.262713,42.630122,12.2,0.22258172838460835,Неустойчивое напряжение бортовой сети
1230,12.301968,42.584132,12.2,0.22362864717241399,Неустойчивое напряжение бортовой сети
1240,12.328342,42.536095,12.2,0.22418920333271503,Неустойчивое напряжение бортовой сети
1250,12.317587,42.485681,12.2,0.22447043340896444,Неустойчивое напряжение бортовой сети
1260,12.375968,42.434273,12.2,0.22476730312330978,Неустойчивое напряжение бортовой сети
1270,12.34567,42.385466,12.2,0.2250742445147427,Неустойчивое напряжение бортовой сети
1280,12.35092,42.342859,12.2,0.22537508384881436,Неустойчивое напряжение бортовой сети
1290,12.386896,42.30292,12.2,0.21604947764294663,Неустойчивое напряжение бортовой сети
1300,12.420523,42.263039,12.2,0.20957184179013938,Неустойчивое напряжение бортовой сети
1310,12.407557,42.221539,12.2,0.19942570482551342,Неустойчивое напряжение бортовой сети
1320,12.374319,42.179322,12.2,0.19267505739568017,Неустойчивое напряжение бортовой сети
1330,12.338043,42.133676,12.2,0.19036402687814113,Неустойчивое напряжение бортовой сети
1340,12.332079,42.081175,12.2,0.1855643548055313,Неустойчивое напряжение бортовой сети
1350,12.361911,42.02574,12.2,0.1852662372538011,Неустойчивое напряжение бортовой сети
1360,12.376244,41.966803,12.2,0.18544009261104677,Неустойчивое напряжение бортовой сети
1370,12.38769,41.907511,12.2,0.18577083387741322,Неустойчивое напряжение бортовой сети
1380,12.36186,41.850758,12.2,0.1861400206138462,Неустойчивое напряжение бортовой сети
1390,12.203508,41.805407,12.2,0.18654150546536963,Неустойчивое напряжение бортовой сети
1400,12.305798,41.769223,12.2,0.2125799931289279,Неустойчивое напряжение бортовой сети
1410,12.198,41.733594,12.2,0.22230214438067022,Неустойчивое напряжение бортовой сети
1420,12.371166,41.693698,12.2,0.22709396898283601,Неустойчивое напряжение бортовой сети
1430,12.392788,41.644774,12.2,0.22901488165845268,Неустойчивое напряжение бортовой сети
1440,12.376423,41.58556,12.2,0.22991638560501398,Неустойчивое напряжение бортовой сети
1450,12.337115,41.532225,12.2,0.23031189687850387,Неустойчивое напряжение бортовой сети
1460,12.318645,41.476835,12.2,0.23067176871248202,Неустойчивое напряжение бортовой сети
1470,12.329738,41.416108,12.2,0.23102028501887145,Неустойчивое напряжение бортовой сети
1480,12.367836,41.361141,12.2,0.23139401506267943,Неустойчивое напряжение бортовой сети
1490,12.397911,41.308347,12.2,0.2317541511748693,Неустойчивое напряжение бортовой сети
1500,12.392313,41.256538,12.2,0.2081687590333001,Неустойчивое напряжение бортовой сети
1510,12.30964,41.208141,12.2,0.19971412166435368,Неустойчивое напряжение бортовой сети
1520,12.276199,41.166384,12.2,0.19863389901682915,Неустойчивое напряжение бортовой сети
1530,12.276189,41.127468,12.2,0.20512355540003635,Неустойчивое напряжение бортовой сети
1540,12.309617,41.087151,12.2,0.20767727796321725,Неустойчивое напряжение бортовой сети
1550,12.345749,41.04199,12.2,0.20894874684586143,Неустойчивое напряжение бортовой сети
1560,12.432846,40.994727,12.2,0.20960825842181743,Неустойчивое напряжение бортовой сети
1570,12.402789,40.951662,12.2,0.21004002591184479,Неустойчивое напряжение бортовой сети
1580,12.197942,40.91893,12.2,0.21033773477214504,Неустойчивое напряжение бортовой сети
1590,12.197889,40.886443,12.2,0.2259345110046247,Неустойчивое напряжение бортовой сети
1600,12.197838,40.855241,12.2,0.23181727609423988,Неустойчивое напряжение бортовой сети
1610,12.197788,40.825142,12.2,0.2341207449776144,Неустойчивое напряжение бортовой сети
1620,12.19774,40.795473,12.2,0.23510279292537112,Неустойчивое напряжение бортовой сети
1630,12.392551,40.760327,12.2,0.2355968448247984,Неустойчивое напряжение бортовой сети
1640,12.35282,40.713203,12.2,0.235822295663224,Неустойчивое напряжение бортовой сети
1650,12.331493,40.660939,12.2,0.2361032009018692,Неустойчивое напряжение бортовой сети
1660,12.331954,40.603947,12.2,0.2364269305279603,Неустойчивое напряжение бортовой сети
1670,12.37131,40.543539,12.2,0.23678719788318223,Неустойчивое напряжение бортовой сети
1680,12.397154,40.487022,12.2,0.23717630033211082,Неустойчивое напряжение бортовой сети
1690,12.385724,40.430479,12.2,0.23756007493623688,Неустойчивое напряжение бортовой сети
1700,12.347529,40.375441,12.2,0.23794253621269734,Неустойчивое напряжение бортовой сети
1710,12.28399,40.321071,12.2,0.2119522136553657,Неустойчивое напряжение бортовой сети
1720,12.289933,40.271437,12.2,0.21214247376981785,Неустойчивое напряжение бортовой сети
1730,12.326202,40.231483,12.2,0.2124335599686983,Неустойчивое напряжение бортовой сети
1740,12.359449,40.195677,12.2,0.21271883005245135,Неустойчивое напряжение бортовой сети
1750,12.359107,40.156424,12.2,0.21298367593293602,Неустойчивое напряжение бортовой сети
1760,12.329979,40.107107,12.2,0.21343459059416545,Неустойчивое напряжение бортовой сети
1770,12.293995,40.05344,12.2,0.213758306574917,Неустойчивое напряжение бортовой сети
1780,12.288728,40.002216,12.2,0.21411991342517847,Неустойчивое напряжение бортовой сети
1790,12.319019,39.959047,12.2,0.21448538663482708,Неустойчивое напряжение бортовой сети
1800,12.357021,39.919369,12.2,0.2138792642923602,Неустойчивое напряжение бортовой сети
